Peer_IP,Validated_Time
209.124.130.101,1590932552.322
18.220.47.120,1590932654.330
54.36.124.100,1590934205.919
3.22.172.166,1590934375.171
178.63.71.183,1590934434.004
3.17.177.157,1590935014.000
162.217.231.179,1590936037.686
178.63.71.183,1590936116.053
134.122.96.128,1590936342.653
188.72.203.154,1590936491.562
163.172.222.30,1590937070.855
178.63.71.183,1590937107.045
118.24.175.14,1590938045.710
188.72.203.154,1590938661.014
104.248.161.166,1590939319.985
212.158.160.111,1590940394.182
178.63.71.183,1590940813.058
50.228.184.13,1590941411.041
178.73.210.248,1590941788.206
159.69.57.170,1590942626.476
180.97.220.27,1590942672.044
167.172.43.123,1590944049.241
212.158.160.111,1590944373.225
3.23.112.242,1590945061.640
188.72.203.154,1590946159.064
142.4.209.60,1590946899.338
212.158.160.111,1590947105.174
178.63.71.183,1590947422.901
204.228.147.42,1590947903.378
104.248.161.166,1590948409.910
178.63.71.183,1590949502.035
213.183.54.81,1590950246.281
188.72.203.154,1590950254.208
195.177.251.17,1590950447.649
54.36.124.100,1590950651.899
188.72.203.159,1590950983.555
61.160.196.169,1590951152.421
212.158.160.111,1590951302.695
54.144.143.243,1590951793.972
188.72.203.159,1590951963.786
13.244.102.241,1590952636.909
61.160.196.169,1590953019.351
54.149.118.3,1590953757.427
213.133.102.169,1590953907.672
13.127.252.139,1590954473.061
13.244.102.241,1590954537.294
178.63.71.183,1590954651.005
39.107.245.90,1590954675.692
88.90.193.26,1590954811.050
163.172.222.30,1590955276.263
45.15.9.99,1590955550.046
193.70.38.148,1590956053.820
192.241.131.177,1590956266.448
163.172.222.30,1590956323.352
193.70.38.148,1590956942.578
13.244.102.241,1590957666.736
193.70.38.148,1590957815.625
173.249.28.21,1590958017.043
3.22.172.166,1590958724.767
45.76.39.141,1590958726.575
188.72.203.159,1590959031.225
193.70.38.148,1590959410.283
193.70.38.148,1590960109.178
193.70.38.148,1590960710.781
13.244.102.241,1590961182.753
193.70.38.148,1590961543.848
212.158.160.111,1590962057.284
13.244.102.241,1590962100.662
134.122.96.128,1590962180.133
118.24.175.14,1590962796.780
193.70.38.148,1590962821.510
50.67.175.2,1590962830.304
176.74.154.45,1590962908.036
208.68.38.242,1590963132.230
13.244.102.241,1590963526.548
213.133.102.169,1590964767.222
192.241.131.177,1590964851.488
188.72.203.154,1590965779.467
193.70.38.148,1590966292.272
45.195.146.197,1590966927.084
193.70.38.148,1590967065.574
178.73.210.248,1590967362.526
188.72.203.159,1590967385.689
13.127.252.139,1590967500.033
193.70.38.148,1590967642.277
209.124.130.101,1590967965.603
208.68.38.242,1590967968.841
148.72.155.96,1590967991.546
88.90.193.26,1590968160.572
193.70.38.148,1590968391.412
13.244.102.241,1590968567.605
118.24.175.14,1590969312.964
193.70.38.148,1590969473.318
142.4.209.60,1590969568.037
188.72.203.159,1590969851.562
134.122.96.128,1590969946.858
193.70.38.148,1590970307.648
45.15.9.99,1590970370.030
34.222.139.192,1590970960.694
193.70.38.148,1590971396.034
188.72.203.159,1590971399.008
13.244.102.241,1590971538.469
212.158.160.111,1590971569.509
163.172.222.30,1590971904.034
188.72.203.154,1590972182.820
180.97.220.27,1590972230.008
104.248.161.166,1590972254.763
118.24.175.14,1590972472.643
82.64.95.124,1590972641.589
13.244.102.241,1590972741.717
193.70.38.148,1590973002.733
118.24.175.14,1590973597.006
13.244.102.241,1590973736.507
208.68.38.242,1590974074.823
213.133.102.169,1590974384.275
188.72.203.154,1590974445.955
82.64.17.18,1590974520.079
193.70.38.148,1590974577.563
212.158.160.111,1590974644.621
193.70.38.148,1590975177.565
51.68.5.144,1590976102.710
188.72.203.159,1590976250.980
212.158.160.111,1590976689.405
163.172.222.30,1590977586.833
188.72.203.159,1590977681.165
176.74.154.45,1590977963.620
193.70.38.148,1590979255.380
188.72.203.154,1590979430.315
193.70.38.148,1590980073.796
47.92.134.60,1590980276.623
188.72.203.159,1590981503.461
212.158.160.111,1590982070.056
178.73.210.248,1590982410.607
176.74.154.45,1590983041.693
188.72.203.154,1590983720.391
3.23.112.242,1590983800.689
118.24.175.14,1590983939.437
13.244.102.241,1590984631.339
193.70.38.148,1590985355.991
180.97.220.27,1590985566.003
212.158.160.111,1590986722.740
134.122.96.128,1590987951.345
13.244.102.241,1590988401.212
212.158.160.111,1590988995.580
188.72.203.154,1590989696.125
109.233.109.26,1590989790.286
3.22.172.166,1590990073.815
193.70.38.148,1590990681.967
163.172.222.30,1590990746.044
3.22.172.166,1590991071.290
109.233.109.26,1590991222.326
13.244.102.241,1590991226.666
193.70.38.148,1590991446.024
163.172.222.30,1590992276.390
134.122.96.128,1590992412.912
212.158.160.111,1590992752.389
163.172.222.30,1590993988.036
188.72.203.154,1590994386.323
163.172.222.30,1590994997.767
37.235.48.220,1590995063.763
193.70.38.148,1590996138.531
54.144.143.243,1590996216.822
188.72.203.159,1590997070.695
61.160.196.169,1590997583.695
212.158.160.111,1590997876.840
47.93.97.78,1590997950.319
47.93.97.78,1590998139.019
119.23.67.66,1590998229.869
188.72.203.154,1590998433.307
180.97.220.27,1590998477.041
192.241.131.177,1590998931.723
47.93.97.78,1590999079.767
195.177.251.17,1590999921.104
193.70.38.148,1591000243.872
212.158.160.111,1591000482.765
204.228.147.42,1591000795.210
134.122.96.128,1591001017.136
212.158.160.111,1591001735.180
45.76.39.141,1591002511.367
199.217.115.27,1591003007.797
163.172.222.30,1591003026.026
199.217.115.27,1591003413.065
159.69.57.170,1591003584.821
199.217.115.27,1591004075.073
134.122.96.128,1591004754.954
199.217.115.27,1591004836.029
109.233.109.26,1591005456.083
13.244.102.241,1591005910.728
134.122.96.128,1591006202.353
134.122.96.128,1591007078.943
163.172.222.30,1591007538.424
47.93.97.78,1591008020.136
188.72.203.154,1591008058.443
134.122.96.128,1591008312.852
134.122.96.128,1591008938.360
167.172.43.123,1591008971.145
188.72.203.159,1591009325.679
13.127.252.139,1591009494.409
104.248.161.166,1591009566.134
54.36.124.100,1591009682.469
188.72.203.159,1591010653.289
134.122.96.128,1591011270.005
193.70.38.148,1591011535.031
47.93.97.78,1591011747.526
188.72.203.159,1591013314.476
212.158.160.111,1591013487.333
37.235.48.220,1591013626.200
47.94.92.186,1591013717.271
142.4.209.60,1591015234.968
39.107.245.90,1591015578.620
193.70.38.148,1591015948.558
193.70.38.148,1591016586.457
163.172.222.30,1591016700.004
212.158.160.111,1591017018.182
193.70.38.148,1591017415.989
212.158.160.111,1591017960.290
163.172.222.30,1591017981.344
193.70.38.148,1591018073.499
213.183.54.81,1591018485.030
193.70.38.148,1591018710.437
3.22.172.166,1591018757.874
212.158.160.111,1591018990.547
193.70.38.148,1591019305.327
51.68.5.144,1591019764.022
134.122.96.128,1591020163.271
212.158.160.111,1591020182.731
193.70.38.148,1591020339.770
50.228.184.13,1591020683.011
193.70.38.148,1591021028.169
193.70.38.148,1591021847.655
47.93.97.78,1591022617.176
47.93.97.78,1591022690.004
193.70.38.148,1591023167.703
213.133.102.169,1591023357.169
45.195.146.197,1591023503.032
192.241.131.177,1591023894.826
163.172.222.30,1591024173.108
3.17.177.157,1591024238.274
3.21.163.242,1591024465.393
142.4.209.60,1591024651.262
188.72.203.154,1591025034.380
13.244.102.241,1591025238.549
188.72.203.154,1591025737.090
163.172.222.30,1591026165.032
47.93.97.78,1591026279.800
47.93.97.78,1591026345.037
66.70.180.144,1591026872.468
188.72.203.159,1591027172.806
13.244.102.241,1591027175.752
47.93.97.78,1591027348.052
3.18.104.231,1591027636.461
34.222.139.192,1591027718.103
193.70.38.148,1591027848.418
47.93.97.78,1591027967.030
193.70.38.148,1591028612.396
118.24.175.14,1591029363.525
193.70.38.148,1591029740.050
163.172.222.30,1591030149.016
134.122.96.128,1591030255.316
204.228.147.42,1591030283.322
193.70.38.148,1591030376.934
193.70.38.148,1591031560.615
54.36.124.100,1591031976.593
13.244.102.241,1591032012.499
193.70.38.148,1591032367.974
159.69.57.170,1591032625.998
51.79.57.29,1591033007.294
74.213.232.247,1591033260.756
193.70.38.148,1591033482.922
78.27.139.13,1591033497.593
212.158.160.111,1591033529.683
118.24.175.14,1591033733.494
208.68.38.242,1591033759.922
193.70.38.148,1591034281.689
193.70.38.148,1591035499.011
173.249.28.21,1591035927.080
13.244.102.241,1591036352.679
188.72.203.159,1591036364.499
212.158.160.111,1591036511.608
54.149.118.3,1591036983.674
193.70.38.148,1591037698.577
47.93.97.78,1591037788.535
47.93.97.78,1591038144.020
118.24.175.14,1591038282.107
109.233.109.26,1591038289.103
208.68.38.242,1591038290.194
193.70.38.148,1591039206.529
173.249.28.21,1591039241.647
47.93.97.78,1591039344.005
50.67.175.2,1591039414.927
188.72.203.159,1591039572.983
212.158.160.111,1591039697.311
193.70.38.148,1591039925.769
134.122.96.128,1591039935.457
163.172.222.30,1591040313.033
193.70.38.148,1591040619.550
134.122.96.128,1591040778.677
188.72.203.159,1591041304.047
193.70.38.148,1591041358.104
148.72.155.96,1591041958.369
47.93.97.78,1591042088.606
193.70.38.148,1591042091.877
47.93.97.78,1591042203.031
188.72.203.159,1591043153.097
47.93.97.78,1591043184.032
193.70.38.148,1591043351.172
188.72.203.154,1591043461.817
66.70.180.144,1591043774.871
142.4.209.60,1591044339.932
193.70.38.148,1591044386.894
47.93.97.78,1591044415.005
193.70.38.148,1591045441.197
193.70.38.148,1591046068.065
134.122.96.128,1591046091.104
47.93.97.78,1591046178.122
47.93.97.78,1591047016.002
193.70.38.148,1591047302.293
47.93.97.78,1591047659.040
188.72.203.154,1591047707.060
142.4.209.60,1591047769.880
18.224.34.216,1591048266.970
193.70.38.148,1591048308.379
188.72.203.154,1591048340.005
47.93.97.78,1591048416.015
45.76.39.141,1591048521.563
188.72.203.159,1591048581.606
193.70.38.148,1591048960.882
47.93.97.78,1591049020.035
134.122.96.128,1591049974.291
193.70.38.148,1591050331.469
163.172.222.30,1591050403.538
47.93.97.78,1591051155.008
193.70.38.148,1591051196.188
88.90.193.26,1591052227.633
188.72.203.159,1591052544.651
193.70.38.148,1591053264.868
50.67.175.2,1591053617.849
188.72.203.154,1591054029.739
134.122.96.128,1591054908.220
104.248.161.166,1591055336.607
3.23.112.242,1591055551.264
47.93.97.78,1591055594.999
163.172.222.30,1591055655.014
47.93.97.78,1591055786.004
47.93.97.78,1591056442.026
193.70.38.148,1591056602.912
